Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C213, C215, C217, C221, C301, C401, C402, C403, C501, C502, C601, C602, C701, C702",0603,26,100n,C14663
"C103, C104",0603,2,15p,C1644
C212,0805,1,4u7,C1779
"C214, C216, C218, C222, C302",0805,5,1u,C28323
"C219, C220, C223, C224, C227, C228",0805,6,2u2,C377773
D201,SOT-23,1,BAV70,C68978
"D202, D203, D401, D402",D_SMA,4,SS14,C2480
D403,0603,1,GREEN,C434423
D404,0603,1,RED,C2286
"D405, D406",0603,2,BLUE,C965807
"F201, F202",FUSE-Littelfuse_Nano2_154x,2,1A,C206910
"H401, H402, H403, H404",MountingHole_4.3mm_M4_DIN965_Pad_TopBottom,4,M4 Pad,-
J301,TFCard_TF-01A,1,TF-01A,C91145
J401,USBC_HRO_TYPE-C-31-M-12,1,USB_C,C165948
J402,MicroFit_02x10V-H,1,Molex_Micro-Fit_3.0_43045-2012_2x10_P3.00mm_Vertical,C485575
J403,2.54mm2x20V-H,1,2x20V-H,C2894981
"J404, J405, J406, J410, J411, J412",PH_01x02V-H,6,Conn_01x02,C2683610
"J407, J408, J409",PH_01x05V-H,3,I2C Breakout,C157993
"J413, J415, J416, J417, J418, J419, J422, J425, J426",PH_01x05V-H,9,Generic Breakout,C157993
"J414, J423, J424",PH_01x05V-H,3,UART Breakout,C157993
"J420, J421, J427",PHD_02x04V-H,3,SPI Breakout,C157975
JP401,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,-
L201,0805,1,100MHz,C1015
"R101, R102, R202, R204, R401, R402",0603,6,5k1,C23186
R201,0603,1,47,C23182
"R203, R205, R410, R411, R414",0603,5,1k,C21190
"R301, R302, R303, R304, R305",0603,5,47k,C25819
"R306, R406, R407, R408",0603,4,10k,C25804
"R403, R404, R405",1206,3,120,C17909
"R409, R412, R413",0603,3,300,C23025
"SW401, SW402, SW403, SW404",PushBtn_TS-1187A-B-A-B,4,SW_Push,C318884
SWD401,PHD_02x04V-H,1,~,C157975
U101,LQFP-144_20x20mm_P0.5mm,1,STM32H723ZGTx,C730146
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U203,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
"U501, U601, U701",SOIC-8_3.9x4.9mm_P1.27mm,3,TJA1042T-3,C132227
X101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz ±10ppm,C669088
Y101,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz 12.5pF ±20ppm,C32346
